_col0,primary_category
1683,medical_transportation
7685,meditation_center
20542,mediterranean_restaurant
45,memorial_park
20,memory_care
96293,mens_clothing_store
7636,merchandising_service
7,metal_detector_services
48704,metal_fabricator
711,metal_materials_and_experts
1687,metal_plating_service
39043,metal_supplier
6933,metals
123,metro_station
118,mexican_grocery_store
189247,mexican_restaurant
14464,middle_eastern_restaurant
59474,middle_school
888,midwife
37,military_museum
508,military_surplus_store
7,milk_bar
213,mills
4017,miniature_golf_course
7925,mining
1839,mission
2,misting_system_services
1,mobile_clinic
21,mobile_dent_repair
6821,mobile_home_dealer
4222,mobile_home_park
83,mobile_home_repair
9030,mobile_phone_accessories
9479,mobile_phone_repair
283049,mobile_phone_store
3360,mobility_equipment_services
1203,modern_art_museum
5,mohel
313,molecular_gastronomy_restaurant
13304,money_transfer_services
493,mongolian_restaurant
505,montessori_school
49549,monument
2538,moroccan_restaurant
38266,mortgage_broker
21022,mortgage_lender
323,mortuary_services
124092,mosque
2520,motel
1598,motor_freight_trucking
113851,motorcycle_dealer
97,motorcycle_gear
2421,motorcycle_manufacturer
8,motorcycle_parking
1895,motorcycle_rentals
75375,motorcycle_repair
6092,motorsport_vehicle_dealer
26,motorsport_vehicle_repair
7657,motorsports_store
147348,mountain
74,mountain_bike_parks
3605,mountain_bike_trails
60,mountain_huts
16938,movers
4,movie_critic
14560,movie_television_studio
107,muay_thai_club
83310,museum
24550,music_and_dvd_store
1,music_critic
69,music_festivals_and_organizations
44928,music_production
466,music_production_services
50278,music_school
54581,music_venue
49,musical_band_orchestras_and_symphonies
347,musical_instrument_services
39066,musical_instrument_store
1527,musician
3,mystic
97805,nail_salon
579,nanny_services
5,national_museum
27367,national_park
9,national_security_services
8791,natural_gas_supplier
5061,natural_hot_springs
14414,nature_reserve
100809,naturopathic_holistic
2879,nephrologist
6,neurologist
500,neuropathologist
11529,neurotologist
564,newspaper_advertising
15308,newspaper_and_magazines_store
117,nicaraguan_restaurant
114,nigerian_restaurant
4471,night_market
63814,non_governmental_association
26656,noodles_restaurant
24408,notary_public
14,nudist_clubs
13952,nurse_practitioner
95520,nursery_and_gardening
4766,nursing_school
47014,nutritionist
2380,observatory
43847,obstetrician_and_gynecologist
1389,occupational_medicine
10045,occupational_safety
9059,occupational_therapy
5061,office_cleaning
27332,office_equipment
11,office_of_vital_records
259,officiating_services
4189,oil_and_gas
149,oil_and_gas_exploration_and_development
1809,oil_and_gas_field_equipment_and_services
4484,oil_change_station
1542,oil_refiners
117,olive_oil
11514,oncologist
25100,online_shop
2458,onsen
917,opera_and_ballet
9209,ophthalmologist
731,optical_wholesaler
